JAMIE, ORB 1, ORB 2, ORB 3
(1.4035634; 0.048524268; -76.027054),(-2.7073963; 0.99772054; -69.45849),(-86.80494; 0.9999596; -122.61635),(37.83212; 1.439328; 64.91469)
(6.3131084; -0.0056138886; -70.38999),(1.4410695; 0.9992609; -62.895123),(-88.87132; 0.9995563; -122.37454),(30.402727; 1.4809582; 68.38033)
(11.3201; 0.015420213; -64.639626),(5.594714; 0.99996406; -56.33962),(-90.93888; 0.9994486; -122.44017),(22.50119; 0.99442744; 71.19732)
(16.33188; 0.0029415875; -58.882957),(8.731889; 0.99979806; -53.394524),(-93.00152; 0.99970704; -122.505646),(14.536864; 0.99985707; 73.9414)
(21.346134; -0.0028013748; -53.123425),(10.770963; 0.99990356; -54.379215),(-95.04066; 0.9999962; -122.570335),(6.682911; 1.014483; 76.66165)
(26.357956; -2.053568E-5; -47.366776),(12.836916; 0.9999503; -55.375484),(-97.10367; 0.99784464; -122.63583),(-1.205175; 0.9999886; 79.4512)
(31.262297; -7.94963E-6; -41.733616),(14.894803; 0.99999684; -56.370556),(-99.15871; 0.9999998; -122.69902),(-9.066247; 0.9999999; 82.24484)
(36.057587; -1.4628615E-4; -36.225365),(16.866816; 0.999993; -57.32797),(-101.12661; 0.99999267; -122.7522),(-16.537666; 1.2170811; 84.92986)
(41.180676; -0.0020200303; -30.340975),(18.962278; 0.9999719; -58.350365),(-103.2249; 0.99988776; -122.80742),(-23.011946; 2.635497; 87.99621)
(46.193325; 0.009072915; -24.583471),(21.005264; 0.99999386; -59.3513),(-105.27786; 0.99971384; -122.86148),(-28.630863; 2.0054238; 91.79771)
(51.096382; 0.0011663964; -18.951841),(23.005562; 0.999933; -60.330948),(-107.28567; 0.9989494; -122.914856),(-34.166115; 1.8331563; 95.91769)
(56.219486; -0.0011693761; -13.067684),(25.079319; 0.9999888; -61.345276),(-109.37084; 0.99999446; -122.9709),(-40.157326; 1.6017494; 100.20296)
(56.837967; -0.0017461734; -7.5909443),(27.033592; 0.9999934; -62.303165),(-111.32755; 0.9992444; -123.01269),(-45.82561; 1.0605202; 104.64014)
(51.70522; -1.149736E-5; -1.9380863),(29.054708; 0.99999833; -63.296375),(-113.349915; 0.9994475; -123.075195),(-51.738354; 1.0154294; 109.55417)
(46.68833; 0.024415998; 3.590363),(31.04212; 0.99981856; -64.27374),(-115.340996; 1.0000005; -123.138725),(-57.462814; 1.015268; 114.44722)
(41.554638; 0.0022784146; 9.234929),(33.076485; 1.0001911; -65.27595),(-117.381294; 0.99999684; -123.20383),(-63.266792; 0.9999627; 119.55333)
(36.53311; -2.2002678E-4; 14.764348),(35.057304; 1.0014229; -66.25288),(-119.37073; 0.99998975; -123.26749),(-68.912125; 0.9999857; 123.73528)
(31.400694; -0.0011198983; 20.417294),(37.077255; 0.99970967; -67.25207),(-121.40315; 0.9998378; -123.33304),(-74.664116; 1.0006412; 123.36306)
(26.26828; -8.9817724E-5; 26.070127),(39.07902; 0.99966276; -68.24355),(-123.41455; 0.99990714; -123.39803),(-80.273796; 0.99989384; 122.99614)
(21.135876; -8.9656195E-4; 31.723078),(41.119484; 0.9955054; -69.25661),(-123.724464; 0.99999964; -123.464355),(-85.98868; 0.9982578; 122.619316)
(16.00349; -0.0021712391; 37.376007),(43.130653; 0.99976164; -70.261826),(-123.689766; 0.9998781; -123.5299),(-91.6253; 0.9987873; 122.24669)
(11.09408; -6.3555536E-4; 42.783073),(45.02451; 0.99954677; -71.210304),(-123.66235; 0.9999999; -123.58168),(-96.916595; 0.9999696; 121.901276)
(6.2950335; -0.0071474137; 48.066612),(46.93546; 0.9999818; -72.16889),(-123.66181; 0.9999999; -123.58271),(-102.25877; 0.9999969; 121.56155)
(1.164592; -1.5306077E-4; 53.71767),(48.852364; 1.0737276; -73.18591),(-123.66212; 0.9999999; -123.58213),(-107.82838; 0.999786; 121.20882)
(-3.967704; -5.77827E-4; 59.37077),(50.288357; 1.174592; -74.40625),(-123.661644; 0.9999999; -123.583015),(-113.52378; 0.9999391; 120.847725)
(-8.988471; -5.770764E-6; 64.90101),(51.06855; 1.1694018; -75.84995),(-123.66224; 0.9999999; -123.5819),(-118.92586; 0.9983369; 120.50459)
(-14.23244; -0.002418259; 70.67667),(51.285057; 1.0512283; -77.76395),(-123.66235; 0.9999999; -123.58169),(-123.73378; 0.99999994; 120.1407)
(-19.141674; -2.0314172E-5; 76.08408),(51.05387; 1.0003862; -79.90335),(-123.66172; 0.9999999; -123.582886),(-123.37836; 0.99999; 119.790985)
(-24.340742; 2.451751; 81.79575),(50.75639; 0.9999796; -82.12413),(-123.66235; 0.9999999; -123.58169),(-123.01262; 0.9998348; 119.42966)
(-29.485067; 2.65928; 87.463936),(50.452885; 0.99999696; -84.38075),(-123.66167; 0.9999999; -123.58297),(-122.82749; 0.9999775; 119.24256)
(-34.608334; 0.7072975; 93.07709),(50.163372; 0.9999416; -86.546776),(-123.662384; 0.9999999; -123.581635),(-122.83477; 0.9999706; 119.249916)
(-39.613792; 0.7123392; 98.61033),(49.88431; 0.9999842; -88.70722),(-123.66225; 0.9999999; -123.58189),(-122.83339; 0.9999719; 119.24852)
(-43.092957; 0.53247356; 101.164764),(49.612343; 0.9989337; -90.88473),(-123.661674; 0.9999999; -123.58297),(-122.8275; 0.9999775; 119.24257)
(-50.694454; 0.25609553; 102.91467),(49.33373; 1.0263959; -93.108116),(-123.661766; 0.9999999; -123.582794),(-122.82844; 0.99997663; 119.243515)
(-57.97881; 0.21376678; 104.57137),(49.003124; 1.2270238; -94.79169),(-123.661674; 0.9999999; -123.58296),(-122.827545; 0.99997747; 119.242615)
(-65.26384; 0.24018039; 106.21505),(48.487213; 1.3431032; -95.74333),(-123.661804; 0.9999999; -123.58272),(-122.828896; 0.99997616; 119.24398)
